Quiz-1 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-2 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-3 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-4 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-5 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Assignment 1 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 2 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 3 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 4 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment-5 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Midterm Points Grade <Numeric MaxPoints:100 Weight:25>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:25>,WeightedTotal
13.88,14,22,22,17,59,105,91,95,85,64,68,71.326
18.05,22,16,19,25,100,110,100,100,95,86,66,81.89333333
14.35,24,17,22,21,100,103,98,95,90,89,66,81.18666667
21.29,18,23,28,20,98,105,109,106,100,71,90,86.67466667
25,23,20,25,21,86,103,98,95,90,93,68,85.05
22.22,22,19,24,21,100,100,95,100,95,75,82,83.86066667
25,15,14,30,27,91,,99,100,100,76,86,80.7
19.44,25,21,21,,78.4,104,98,93,110,82,77,79.67466667
22.22,29,25,26,28,100,107,109,110,100,93,84,94.76066667
23.14,20.5,22,25,25,98,109,93,95,98,91,68,86.01133333
25,28,25,22,28,100,110,110,100,102,80,96,94.03333333
16.66,21,10,26,21,100,,,100,100,60,72,65.36533333
20.37,26,23,30,28,100,110,110,110,110,105,100,101.8573333
22.22,21,14,28,27,80,92,99,107,75.2,65,89,81.97066667
23.14,30,25,27,28,100,107,109,110,100,105,98,101.778
22.22,30,21,29,30,100,109,99,110,100,96,86,95.87733333
20.37,21.5,24,29,30,90,106,75,100,78.4,87,98,92.01066667
17.59,23,18,28,27,100,110,110,110,110,82,90,91.018
21.37,28,19,27,24,80,92,99,107,75.2,75,90,85.95066667
21.29,20,24,26,28,100,107,109,110,100,89,90,93.37466667
8.33,17,14,10,23,96,103,100,103,88,53,70,68.816
21.29,23,19,24,13,78.4,106,99,100,97,85,86,85.26133333
15.74,27,22,24,16,,102,,,68,99,82,72.998
16.66,20,17,19,23,98,101,84.8,110,100,85,82,84.272
18.51,26,14,25,17,98,108,109,108,106,75,87,85.352
20.37,25.5,25,26,24,100,108,100,100,100,93,91,93.85733333
21.75,21,23,26,25,100,110,99,100,97,87,86,90.33333333
22.22,28,16,23,25,100,100,110,110,110,81,81,88.144
19.44,30,23,30,30,100,110,100,100,100,95,86,95.238
17.6,18,18,23,17,82,85,100,100,100,83,68,78.45333333
21.29,27,27,25,23,100,105,110,100,100,91,88,93.42466667
20.5,24,21,25,20,57,95,55,90,100,81,87,82.31666667
18.51,18.5,18,24,27,100,110,100,100,100,83,86,87.53533333
15.74,26,19,21,16,100,100,100,95,100,76,77,80.98133333
20.83,25,16,26,23,100,110,100,110,99,49,87,80.416
21.29,30,25,26,30,100,105,110,110,100,97,89,97.34133333
25,30,23,28,30,100,105,100,100,100,99,96,99.26666667
21.29,26,20,26,27,100,110,100,100,79,93,94,93.52466667
19.5,24,15,27,21,91,109,100,100,0,75,66,74.85
19.5,28,22,25,27,91,110,100,100,110,83,84,89.83333333
21.5,14,11.5,,15,100,110,100,100,100,78,82,77.43333333
24.07,22,23,19,27,100,110,100,110,100,69,92,87.89733333
20.37,23,11,23,21,100,110,110,110,100,68,88,83.64066667
25,20,19,21,23,100,110,110,110,100,87,90,90.98333333
20.5,24,21,25,22,97,100,80,75,100,89,73,83.96666667
21.5,28,21,28,20,100,110,100,100,100,82,88,89.83333333
21.29,24,17,21,24,100,109,100,100,110,97,96,94.158
18.05,19,13,19,25,100,110,100,100,100,87,79,84.54333333
20.83,24,19,27,17,100,110,110,100,85,97,84,90.366
20.5,24,20,24,21,100,105,110,110,100,63,70,79.8
0,0,0,0,0,0,0,0,0,0,0,0,0
18.2,30,24,29,24,100,105,100,100,99,93,90,94.02333333
22.5,23,23,25,27,100,105,100,100,99,97,76,90.95
20.5,16,16,10,24,100,110,110,110,110,62,66,75.43333333
23.14,26,25,26,28,100,110,110,110,100,99,88,97.14466667
25,24,20,23,30,80,110,75,100,100,87,96,91.83333333
17.12,18,24,23,22,100,110,100,100,100,83,78,85.20733333
25,18,19,22,22,100,105,100,100,97,101,85,91.46666667
12.96,26,19,28,21,97,110,110,110,110,69,76,82.692
21.29,19,18,18,23,80,67.5,98,100,95,83,88,83.39966667
25,26,21,21,25,82,107,100,100,100,99,88,93.23333333
25,17,18,18,19,97,105,90,95,100,57,60,71.83333333
18.51,22,18,17,24,100,110,100,100,100,89,84,87.352
20.37,,17,,,0,110,0,0,0,,,12.974
23,30,25,30,28,100,110,110,110,100,93,90,97.45
21.75,16.5,20,25,20,100,110,100,100,79,79,76,82.46666667
21.29,24,20,23,21,100,110,100,100,110,87,72,86.04133333
23.14,20,20,19,16,39,110,100,97,99,64,78,76.078
16.66,25.5,23,24,27,100,100,109,110,110,95,90,94.282
20.83,28,25,28,28,100,100,95,100,100,89,90,93.59933333
15,21,16,16,20,6,25,98,73,94,65,57,61.66666667
18.5,28,13,28,19,98,92,99,95,97,65,57,73.98333333
16,27,21,19,22,89,110,98,100,97,95,74,86.41666667
20,30,22,23,25,98,110,98,110,95,93,90,93.53333333
18,29,24,28,23,99,106,99,102,98,69,64,80.95
25,30,25,28,24,100,110,99,100,88,90,84,92.81666667
15,27.5,22,17,10,99,110,99,98,99,81,76,81.31666667
16,22,19,26,21,0,,,,,83,72,57.95
16,28,15,24,26,96,84.8,100,95,97,64,83,80.45666667
19,23,23,23,23,100,110,99,100,88,75,88,86.26666667
24,23.5,23,26,20,100,108,93,100,80,94,96,93.2
22,28,24,26,27,100,110,99,100,99,93,82,92.75
22.5,25,17,22,27,100,107,99,96,92,69,78,82.58333333
14,28,21,15,20,77.6,110,100,100,100,79,75,81.04666667
24.5,25,21,26,30,0,107,99,98,80,101,96,92.05
24,30,23,27,28,95.5,108,99,100,97,97,92,96.725
21,30,24,28,22,80,110,96,100,98.5,93,84,91.54166667
20,24,20,14,22,98,100,99,100,98,85,78,84.23333333
20.5,28,22,22,25,63,105,99,60,86,91,84,86.23333333
14,19.5,15,18,16,99,88,99,100,97,53,80,72.65
